0	2500	500
1	2617	507
2	2735	520
3	2855	531
4	2970	544
5	3026	555
6	3315	571
7	3465	583
8	3605	598
9	3750	605
10	3821	613
11	4169	623
12	4402	639
13	4550	634
14	4740	656
15	4754	663
16	5047	662
17	5202	674
18	5260	682
19	5394	685
20	5408	694
21	5611	706
22	5722	713
23	5765	725
24	5841	736
25	5835	745
26	5992	753
27	6109	766
28	6096	774
29	6161	780
30	6128	794
31	6196	804
32	6256	812
33	6209	825
34	6205	827
35	6157	835
36	6179	847
37	6216	863
38	6150	873
39	6074	888
40	6027	895
41	6007	907
42	6011	932
43	5862	950
44	5754	972
45	5652	990
46	5556	1017
47	5455	1030
48	5249	1059
49	5052	1067
50	4886	1086
51	4690	1102
52	4522	1128
53	4277	1149
54	4046	1192
55	3845	1199
56	3588	1214
57	3339	1244
58	3068	1258
59	2829	1275
60	2619	1297
61	2389	1314
62	2134	1335
63	1915	1352
64	1683	1361
65	1478	1380
66	1331	1385
67	1162	1395
68	1031	1405
69	866	1406
70	769	1417
71	689	1418
72	611	1421
73	529	1428
74	453	1411
75	402	1401
76	382	1405
77	351	1412
78	325	1402
79	291	1406
80	276	1388
81	270	1388
82	257	1407
83	230	1392
84	206	1404
85	196	1402
86	171	1420
87	164	1400
88	153	1406
89	143	1392
90	138	1390
91	124	1368
92	117	1351
93	97	1344
94	87	1345
95	87	1317
96	78	1276
97	77	1268
98	68	1232
99	71	1220
100	78	1201
